Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  arithmeticExpression   No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              No             addSub                
-                                   11              TK_MINUS               -----                  addSub                 Yes             -----                 
(                                   11              TK_OP                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
c5                                  11              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  nestedExp              No             arithmeticExpression  
-----                               -----           -----                  -----                  addSubRem              No             addSub                
-                                   11              TK_MINUS               -----                  addSub                 Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
5                                   11              TK_NUM                 5                      var                    Yes             -----                 
-----                               -----           -----                  -----                  addSubRem              No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  arithmeticExpression   No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              Yes            addSubRem             
-----                               -----           -----                  -----                  unit                   No             nestedExp             
)                                   11              TK_CL                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  addSubRem              No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  addSubRem              No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              Yes            addSubRem             
-----                               -----           -----                  -----                  unit                   No             nestedExp             
)                                   11              TK_CL                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
